#MOBILE
Vnum	29000
Level   66
Gold	381
Room	29000
Name     ghoul nighttracker taren koth~
Short	Taren Koth~
Long	Taren Koth, the ghoul NightTracker, eyes you suspiciously...
~
Description This huge figure before you is Taren Koth, the ghoul NightTracker.  Many
ghouls who tire of adventuring sometimes turn to the darker arts of death
magic and assassination.  The best are tracked down by Taren Koth and taken
under his wing and trained to be the stealthiest and deadliest hunters in the
Realm, but must always remains anonymous under their hoods.  Taren alone holds
the title of NightTracker, marking him as the personal hunter of Lord Drazuk.
If Taren Koth is on your trail, your days are numbered, for you have truly
angered the Gods!
~
HpManaMove   10692 10692 100 100 100 100
Position 12
Flags 21069825
AffectedBy   -1770422080&448
EndMobile

#MOBILE
Vnum	1
Level   49
Gold	184
Room	2
Name     Puff~
Short	Puff~
Long	Puff the Fractal Dragon is here, contemplating a higher reality.
~
Description Puff doesn't appreciate you just showing up here.
~
HpManaMove   2546 2546 120 120 100 100
Position 12
Flags 272629763
AffectedBy   4194816&256
#OBJECT
Name         a warrior's plate mail overshield~
ShortDescr   a warrior's plate mail overshield~
Description  A warrior's plate mail overshield lies here.~
ActionDesc   ~
Ovnum         29553
ExtraFlags   537395520&1024
Weight       9
Cost         1250
Values       14 14 0 0 0 0 0 0 0 0 0 0 0 0 0
Affect       -1 -1 20 12 0
End

EndMobile

#MOBILE
Vnum	2
Level   49
Gold	127
Room	8
Name     demon imp~
Short	a demon imp~
Long	A demon imp hovers nearby...drooling constantly with a fiendish grin.
~
Description This demon is clearly something that you don't want to mess with...
It appears to be very agile, and very strong.
~
HpManaMove   2108 2108 100 100 100 100
Position 12
Flags 4194307
AffectedBy   373817984&256
EndMobile

#MOBILE
Vnum	3661
Level   65
Gold	303
Room	3666
Name     healer valkyre woman Kara~
Short	The Valkrye Healer~
Long	Kara, the Valkrye healer, tends to the wounded.
~
Description ~
HpManaMove   4718 4718 100 100 100 100
Position 12
Flags 11
AffectedBy   4194304&256
EndMobile

#MOBILE
Vnum	3660
Level   64
Gold	322
Room	3665
Name     viking~
Short	A huge Viking~
Long	A huge Viking warrior hovers over you and grins.
~
