&GShkar          ->&w2   &G-&w  17   &G   Rvnum: 10300   Sea-elf Conjurer
&GAahz           ->&w29  &G-&w  25   &G   Rvnum: 8028    Lizardman Diabolist
&GVlad           ->&w28  &G-&w  67   &G   Rvnum: 932     Ghoul Bishop
&GVlad           ->&w29  &G-&w  68   &G   Rvnum: 932     Ghoul Bishop
&GVlad           ->&w30  &G-&w  69   &G   Rvnum: 4610    Ghoul Bishop
&GGorva          ->&w2   &G-&w  17   &G   Rvnum: 10300   Goblin Thug
&GGorva          ->&w3   &G-&w  17   &G   Rvnum: 10350   Goblin Thug
&GGorva          ->&w4   &G-&w  17   &G   Rvnum: 10363   Goblin Thug
&GGorva          ->&w5   &G-&w  17   &G   Rvnum: 10377   Goblin Thug
&GGorva          ->&w6   &G-&w  17   &G   Rvnum: 10367   Goblin Thug
&GFenix          ->&w35  &G-&w  60   &G   Rvnum: 847     Half-elf Bishop
&GKalatis        ->&w16  &G-&w  50   &G   Rvnum: 5130    Half-elf Thief
&GDarigaaz       ->&w2   &G-&w  17   &G   Rvnum: 10300   Lizardman Thief
&GSkagit         ->&w2   &G-&w  17   &G   Rvnum: 10300   Minotaur Ranger
&GAahz           ->&w30  &G-&w  26   &G   Rvnum: 8009    Lizardman Diabolist
&GKalatis        ->&w17  &G-&w  51   &G   Rvnum: 5133    Half-elf Thief
&GKarl           ->&w2   &G-&w  17   &G   Rvnum: 10300   Ghoul Ranger
&GKarl           ->&w3   &G-&w  17   &G   Rvnum: 10390   Ghoul Ranger
&GKarl           ->&w4   &G-&w  17   &G   Rvnum: 10372   Ghoul Ranger
&GKarl           ->&w5   &G-&w  17   &G   Rvnum: 10379   Ghoul Ranger
&GSkagit         ->&w3   &G-&w  17   &G   Rvnum: 10374   Minotaur Ranger
&GKarl           ->&w6   &G-&w  17   &G   Rvnum: 1038    Ghoul Ranger
&GSkagit         ->&w4   &G-&w  17   &G   Rvnum: 10378   Minotaur Ranger
&GKarl           ->&w7   &G-&w  17   &G   Rvnum: 1083    Ghoul Ranger
&GSkagit         ->&w5   &G-&w  17   &G   Rvnum: 10366   Minotaur Ranger
&GKarl           ->&w8   &G-&w  17   &G   Rvnum: 10975   Ghoul Ranger
&GFory Tory      ->&w23  &G-&w  20   &G   Rvnum: 5136    Ghoul Mage
&GKarl           ->&w9   &G-&w  17   &G   Rvnum: 1032    Ghoul Ranger
&GSkagit         ->&w6   &G-&w  18   &G   Rvnum: 10368   Minotaur Ranger
&GKarl           ->&w10  &G-&w  18   &G   Rvnum: 10809   Ghoul Ranger
&GKarl           ->&w11  &G-&w  18   &G   Rvnum: 5132    Ghoul Ranger
&GKarl           ->&w12  &G-&w  18   &G   Rvnum: 5129    Ghoul Ranger
&GKarl           ->&w13  &G-&w  19   &G   Rvnum: 5131    Ghoul Ranger
&GRoddle         ->&w2   &G-&w  17   &G   Rvnum: 10300   Gith Diabolist
&GRoddle         ->&w3   &G-&w  17   &G   Rvnum: 10429   Gith Diabolist
&GKarl           ->&w14  &G-&w  19   &G   Rvnum: 5139    Ghoul Ranger
&GRoddle         ->&w4   &G-&w  17   &G   Rvnum: 10361   Gith Diabolist
&GRoddle         ->&w5   &G-&w  17   &G   Rvnum: 10431   Gith Diabolist
&GRoddle         ->&w6   &G-&w  17   &G   Rvnum: 1047    Gith Diabolist
&GSkagit         ->&w7   &G-&w  19   &G   Rvnum: 1025    Minotaur Ranger
&GKarl           ->&w15  &G-&w  19   &G   Rvnum: 5139    Ghoul Ranger
&GRoddle         ->&w7   &G-&w  17   &G   Rvnum: 1044    Gith Diabolist
&GRoddle         ->&w8   &G-&w  18   &G   Rvnum: 1026    Gith Diabolist
&GSkagit         ->&w8   &G-&w  19   &G   Rvnum: 1056    Minotaur Ranger
&GRoddle         ->&w9   &G-&w  18   &G   Rvnum: 10804   Gith Diabolist
&GRoddle         ->&w10  &G-&w  18   &G   Rvnum: 10883   Gith Diabolist
&GCrell          ->&w31  &G-&w  55   &G   Rvnum: 11091   Ghoul Rogue
&GKarl           ->&w16  &G-&w  19   &G   Rvnum: 5132    Ghoul Ranger
&GKarl           ->&w17  &G-&w  20   &G   Rvnum: 5135    Ghoul Ranger
&GEhecatl        ->&w15  &G-&w  19   &G   Rvnum: 21186   Lizardman Druid
&GEhecatl        ->&w16  &G-&w  19   &G   Rvnum: 21009   Lizardman Druid
&GEhecatl        ->&w17  &G-&w  19   &G   Rvnum: 21009   Lizardman Druid
&GDias           ->&w10  &G-&w  18   &G   Rvnum: 4326    Ghoul Thief
&GSkagit         ->&w9   &G-&w  21   &G   Rvnum: 1020    Minotaur Ranger
&GPain           ->&w29  &G-&w  32   &G   Rvnum: 2427    Ghoul Mage
&GSkagit         ->&w10  &G-&w  21   &G   Rvnum: 1041    Minotaur Ranger
&GBrolly         ->&w2   &G-&w  17   &G   Rvnum: 10300   Gith Monk
&GBrolly         ->&w3   &G-&w  17   &G   Rvnum: 10361   Gith Monk
&GBrolly         ->&w4   &G-&w  17   &G   Rvnum: 10404   Gith Monk
&GBrolly         ->&w5   &G-&w  17   &G   Rvnum: 10381   Gith Monk
&GBrolly         ->&w6   &G-&w  17   &G   Rvnum: 10381   Gith Monk
&GBrolly         ->&w7   &G-&w  17   &G   Rvnum: 1222    Gith Monk
&GBrolly         ->&w8   &G-&w  17   &G   Rvnum: 1276    Gith Monk
&GBrolly         ->&w9   &G-&w  17   &G   Rvnum: 4334    Gith Monk
&GBrolly         ->&w10  &G-&w  17   &G   Rvnum: 4352    Gith Monk
&GBrolly         ->&w11  &G-&w  17   &G   Rvnum: 4352    Gith Monk
&GValek          ->&w2   &G-&w  17   &G   Rvnum: 10300   Half-troll Warrior
&GValek          ->&w3   &G-&w  17   &G   Rvnum: 10342   Half-troll Warrior
&GValek          ->&w4   &G-&w  17   &G   Rvnum: 10432   Half-troll Warrior
&GValek          ->&w5   &G-&w  17   &G   Rvnum: 10384   Half-troll Warrior
&GCelestron      ->&w2   &G-&w  17   &G   Rvnum: 10300   Half-elf Cleric
&GSkagit         ->&w11  &G-&w  22   &G   Rvnum: 1024    Minotaur Ranger
&GCelestron      ->&w3   &G-&w  17   &G   Rvnum: 10333   Half-elf Cleric
&GCelestron      ->&w4   &G-&w  17   &G   Rvnum: 10361   Half-elf Cleric
&GCelestron      ->&w5   &G-&w  17   &G   Rvnum: 10376   Half-elf Cleric
&GCelestron      ->&w6   &G-&w  17   &G   Rvnum: 10333   Half-elf Cleric
&GVlad           ->&w31  &G-&w  69   &G   Rvnum: 4605    Ghoul Bishop
&GCelestron      ->&w7   &G-&w  17   &G   Rvnum: 10416   Half-elf Cleric
&GCelestron      ->&w8   &G-&w  18   &G   Rvnum: 9801    Half-elf Cleric
&GKarl           ->&w18  &G-&w  20   &G   Rvnum: 8021    Ghoul Ranger
&GCelestron      ->&w9   &G-&w  18   &G   Rvnum: 662     Half-elf Cleric
&GCelestron      ->&w10  &G-&w  19   &G   Rvnum: 1539    Half-elf Cleric
&GKalatis        ->&w18  &G-&w  55   &G   Rvnum: 5131    Half-elf Thief
&GCelestron      ->&w11  &G-&w  19   &G   Rvnum: 464     Half-elf Cleric
&GCelestron      ->&w12  &G-&w  20   &G   Rvnum: 434     Half-elf Cleric
&GVlad           ->&w32  &G-&w  72   &G   Rvnum: 4609    Ghoul Bishop
&GRugen          ->&w2   &G-&w  17   &G   Rvnum: 10300   Dwarf Warrior
&GEhecatl        ->&w18  &G-&w  20   &G   Rvnum: 3836    Lizardman Druid
&GVlad           ->&w33  &G-&w  72   &G   Rvnum: 4608    Ghoul Bishop
&GCelestron      ->&w13  &G-&w  20   &G   Rvnum: 1537    Half-elf Cleric
&GCelestron      ->&w14  &G-&w  20   &G   Rvnum: 1548    Half-elf Cleric
&GCelestron      ->&w15  &G-&w  20   &G   Rvnum: 8022    Half-elf Cleric
&GBrolly         ->&w12  &G-&w  18   &G   Rvnum: 4315    Gith Monk
&GCelestron      ->&w16  &G-&w  21   &G   Rvnum: 8030    Half-elf Cleric
&GBrolly         ->&w13  &G-&w  18   &G   Rvnum: 4322    Gith Monk
&GAahz           ->&w31  &G-&w  27   &G   Rvnum: 8040    Lizardman Diabolist
&GBrolly         ->&w14  &G-&w  18   &G   Rvnum: 4348    Gith Monk
&GBrolly         ->&w15  &G-&w  19   &G   Rvnum: 4381    Gith Monk
&GCelestron      ->&w17  &G-&w  22   &G   Rvnum: 465     Half-elf Cleric
&GBrolly         ->&w16  &G-&w  19   &G   Rvnum: 4328    Gith Monk
&GAahz           ->&w32  &G-&w  27   &G   Rvnum: 8022    Lizardman Diabolist
&GBrolly         ->&w17  &G-&w  19   &G   Rvnum: 4323    Gith Monk
&GAahz           ->&w33  &G-&w  28   &G   Rvnum: 8024    Lizardman Diabolist
&GKarl           ->&w19  &G-&w  21   &G   Rvnum: 8001    Ghoul Ranger
&GKarl           ->&w20  &G-&w  21   &G   Rvnum: 8018    Ghoul Ranger
&GAahz           ->&w34  &G-&w  29   &G   Rvnum: 8023    Lizardman Diabolist
&GFenix          ->&w36  &G-&w  61   &G   Rvnum: 916     Half-elf Bishop
&GSaylus         ->&w2   &G-&w  17   &G   Rvnum: 10300   Goblin Thug
&GSkagit         ->&w12  &G-&w  23   &G   Rvnum: 10936   Minotaur Ranger
&GSaylus         ->&w3   &G-&w  17   &G   Rvnum: 10363   Goblin Thug
&GSaylus         ->&w4   &G-&w  17   &G   Rvnum: 10376   Goblin Thug
&GSaylus         ->&w5   &G-&w  17   &G   Rvnum: 10348   Goblin Thug
&GEhecatl        ->&w19  &G-&w  20   &G   Rvnum: 3828    Lizardman Druid
&GSaylus         ->&w6   &G-&w  17   &G   Rvnum: 1235    Goblin Thug
&GEhecatl        ->&w20  &G-&w  20   &G   Rvnum: 3831    Lizardman Druid
&GSkagit         ->&w13  &G-&w  24   &G   Rvnum: 471     Minotaur Ranger
&GEhecatl        ->&w21  &G-&w  21   &G   Rvnum: 3838    Lizardman Druid
&GMocine         ->&w49  &G-&w  77   &G   Rvnum: 4609    Ghoul Monk
&GBrolly         ->&w18  &G-&w  19   &G   Rvnum: 247     Gith Monk
&GBrolly         ->&w19  &G-&w  20   &G   Rvnum: 3841    Gith Monk
&GAahz           ->&w35  &G-&w  30   &G   Rvnum: 8099    Lizardman Diabolist
&GBrolly         ->&w20  &G-&w  20   &G   Rvnum: 9878    Gith Monk
&GBrolly         ->&w21  &G-&w  20   &G   Rvnum: 3818    Gith Monk
&GAahz           ->&w36  &G-&w  32   &G   Rvnum: 8022    Lizardman Diabolist
&GEaven          ->&w40  &G-&w  269  &G   Rvnum: 4657    Human Bishop
&GKarl           ->&w21  &G-&w  22   &G   Rvnum: 21025   Ghoul Ranger
&GEaven          ->&w41  &G-&w  269  &G   Rvnum: 4628    Human Bishop
&GEaven          ->&w42  &G-&w  270  &G   Rvnum: 4670    Human Bishop
&GKarl           ->&w22  &G-&w  23   &G   Rvnum: 202     Ghoul Ranger
&GEaven          ->&w43  &G-&w  270  &G   Rvnum: 4638    Human Bishop
&GKarl           ->&w23  &G-&w  23   &G   Rvnum: 8046    Ghoul Ranger
&GEaven          ->&w44  &G-&w  270  &G   Rvnum: 4650    Human Bishop
&GKarl           ->&w24  &G-&w  23   &G   Rvnum: 8046    Ghoul Ranger
&GSaylus         ->&w7   &G-&w  17   &G   Rvnum: 1221    Goblin Thug
&GSaylus         ->&w8   &G-&w  17   &G   Rvnum: 21110   Goblin Thug
&GEaven          ->&w45  &G-&w  271  &G   Rvnum: 4666    Human Bishop
&GCelestron      ->&w18  &G-&w  23   &G   Rvnum: 8047    Half-elf Cleric
&GEaven          ->&w46  &G-&w  271  &G   Rvnum: 4688    Human Bishop
&GKarl           ->&w25  &G-&w  24   &G   Rvnum: 8015    Ghoul Ranger
&GVlad           ->&w34  &G-&w  73   &G   Rvnum: 4605    Ghoul Bishop
&GBrolly         ->&w22  &G-&w  21   &G   Rvnum: 4458    Gith Monk
&GCelestron      ->&w19  &G-&w  24   &G   Rvnum: 21032   Half-elf Cleric
&GBlack          ->&w6   &G-&w  18   &G   Rvnum: 10803   Dwarf Ranger
&GAahz           ->&w37  &G-&w  33   &G   Rvnum: 4610    Lizardman Diabolist
&GBlack          ->&w7   &G-&w  18   &G   Rvnum: 10884   Dwarf Ranger
&GBlack          ->&w8   &G-&w  18   &G   Rvnum: 10826   Dwarf Ranger
&GBrolly         ->&w23  &G-&w  21   &G   Rvnum: 8036    Gith Monk
&GAahz           ->&w38  &G-&w  33   &G   Rvnum: 4608    Lizardman Diabolist
&GChamp          ->&w2   &G-&w  17   &G   Rvnum: 10300   Ghoul Warrior
&GSkagit         ->&w14  &G-&w  27   &G   Rvnum: 216     Minotaur Ranger
&GBrolly         ->&w24  &G-&w  22   &G   Rvnum: 3830    Gith Monk
&GAahz           ->&w39  &G-&w  35   &G   Rvnum: 4605    Lizardman Diabolist
&GKarl           ->&w26  &G-&w  25   &G   Rvnum: 8011    Ghoul Ranger
&GBrolly         ->&w25  &G-&w  22   &G   Rvnum: 3813    Gith Monk
&GBlack          ->&w9   &G-&w  18   &G   Rvnum: 10814   Dwarf Ranger
&GBlack          ->&w10  &G-&w  18   &G   Rvnum: 10872   Dwarf Ranger
&GKarl           ->&w27  &G-&w  26   &G   Rvnum: 8020    Ghoul Ranger
&GKarl           ->&w28  &G-&w  26   &G   Rvnum: 8040    Ghoul Ranger
&GSparhawk       ->&w29  &G-&w  31   &G   Rvnum: 2257    Elf Mage
&GKarl           ->&w29  &G-&w  27   &G   Rvnum: 8007    Ghoul Ranger
&GSparhawk       ->&w30  &G-&w  31   &G   Rvnum: 8023    Elf Mage
&GMocine         ->&w50  &G-&w  79   &G   Rvnum: 4609    Ghoul Monk
&GRyvius         ->&w2   &G-&w  17   &G   Rvnum: 10300   Minotaur Shaman
&GJinn           ->&w2   &G-&w  17   &G   Rvnum: 10300   Half-elf Ranger
&GRyvius         ->&w3   &G-&w  17   &G   Rvnum: 10444   Minotaur Shaman
&GJinn           ->&w3   &G-&w  17   &G   Rvnum: 10387   Half-elf Ranger
&GRyvius         ->&w4   &G-&w  17   &G   Rvnum: 10442   Minotaur Shaman
&GRyvius         ->&w5   &G-&w  17   &G   Rvnum: 10384   Minotaur Shaman
&GVlad           ->&w35  &G-&w  74   &G   Rvnum: 4608    Ghoul Bishop
&GArius          ->&w2   &G-&w  17   &G   Rvnum: 10300   Wolfen Druid
&GBrolly         ->&w26  &G-&w  23   &G   Rvnum: 9897    Gith Monk
&GTogra          ->&w2   &G-&w  17   &G   Rvnum: 10300   Ghoul Jester
&GTogra          ->&w3   &G-&w  17   &G   Rvnum: 10361   Ghoul Jester
&GTogra          ->&w4   &G-&w  17   &G   Rvnum: 10361   Ghoul Jester
