#SOCIAL
Name        accuse~
CharNoArg   Accuse whom?~
OthersNoArg $n is in an accusing mood.~
CharFound   You look accusingly at $N.~
OthersFound $n looks accusingly at $N.~
VictFound   $n looks accusingly at you.~
CharAuto    You accuse yourself.~
OthersAuto  $n seems to have a bad conscience.~
End

#SOCIAL
Name        ack~
CharNoArg   You gasp and say 'ACK!' at your mistake.~
OthersNoArg $n ACKS at $s big mistake.~
CharFound   You ACK $M.~
OthersFound $n ACKS $N.~
VictFound   $n ACKS you.~
CharAuto    You ACK yourself.~
OthersAuto  $n ACKS $mself.  Must be a bad day.~
End

#SOCIAL
Name        addict~
CharNoArg   You stand and admit to all in the room, 'Hi, I'm $n, and I'm a mud addict.'~
OthersNoArg $n stands and says, 'Hi, I'm $n, and I'm a mud addict.'~
CharFound   You tell $M that you are addicted to $S love.~
OthersFound $n tells $N that $e is addicted to $S love.~
VictFound   $n tells you that $e is addicted to your love.~
CharAuto    You stand and admit to all in the room, 'Hi, I'm $n, and I'm a mud addict.'~
OthersAuto  $n stands and says, 'Hi, I'm $n, and I'm a mud addict.'~
End

#SOCIAL
Name        adore~
CharNoArg   You are looking for someone to adore!~
OthersNoArg $n is looking for someone to adore!~
CharFound   You look at $N with adoring eyes.~
OthersFound $n looks at $N with adoring eyes.~
VictFound   $n looks at you with adoring eyes.~
CharAuto    Aww! You adore yourself!~
OthersAuto  $n adores $mself soooo much!~
End

#SOCIAL
Name        aduck~
CharNoArg   You exclaim, 'A DUCK!!'~
OthersNoArg $n exclaims, 'A DUCK!!' You wonder if it quacks.~
CharFound   You tell $N, 'A duck!'~
OthersFound $n tells $N, 'A duck!'~
VictFound   $n tells you, 'A duck!'~
CharAuto    You muster up the words, 'A quack.' Takes one to know one. DRINK!!~
OthersAuto  $n's mind slips and says, 'A quack.' $n grumbles and throws back ANOTHER shot.~
End

#SOCIAL
Name        again~
CharNoArg   You think, "not again!"~
OthersNoArg $n hits $s head on a tree and cries, "Not AGAIN!?"~
CharFound   You beg $N to do it again!  You must have enjoyed the first time.~
OthersFound $n looks at $N and says, "Thank you, may I have another?"~
VictFound   $n begs you for a repeat performance. Do it again!~
CharAuto    You make a mental note to do that again.~
OthersAuto  $n makes a mental note to do what $e just did more often!~
End

#SOCIAL
Name        agree~
CharNoArg   You seem to be in an agreeable mood.~
OthersNoArg $n seems to agree.~
CharFound   You agree with $M.~
OthersFound $n agrees with $N.~
VictFound   $n agrees with you.~
CharAuto    Well I hope you would agree with yourself!~
OthersAuto  $n agrees with $mself, of course.~
End

#SOCIAL
Name        ahem~
CharNoArg   You clear your throat loudly and look slowly around.~
OthersNoArg $n clears $s throat loudly and looks around.~
CharFound   You cock an eyebrow at $N and clear your throat.~
OthersFound $n cocks an eyebrow at $N and clears $s throat.~
VictFound   $n cocks an eyebrow at you and clears $s throat.~
CharAuto    You quickly clear your throat and glance around nervously.~
OthersAuto  $n suddenly clears $s throat and glances around nervously.~
End

#SOCIAL
Name        apologize~
CharNoArg   You apologize for your behavior.~
OthersNoArg $n apologizes for $s rude behavior.~
CharFound   You apologize to $M.~
OthersFound $n drops to $s knees and apologizes to $N.~
VictFound   $n drops to their knees and apologizes to you.~
CharAuto    You apologize to yourself.~
OthersAuto  $n apologizes to $mself.  Hmmmm.~
End

#SOCIAL
Name        applaud~
CharNoArg   YAY! WOOHOO! Clap, clap, clap.~
OthersNoArg $n gives a round of applause.~
CharFound   You clap at $S actions.~
OthersFound $n claps at $N's actions.~
VictFound   $n gives you a round of applause.  And the crowd goes WILD!~
CharAuto    You applaud at yourself.  Boy, are we conceited!~
OthersAuto  $n applauds at $mself.  Boy, are we conceited!~
End

#SOCIAL
Name        awhat~
CharNoArg   You exclaim, 'A WHAT!?'~
OthersNoArg $n looks startled as $e exclaims, 'A WHAT!?'~
CharFound   You ask $N, 'A what?'~
OthersFound $n asks $N, 'A what?'~
VictFound   $n asks you, 'A what?'~
CharAuto    Your tongue twists and you manage to spurt out, 'Just ducky?' BAH! Messed up again! DRINK!!~
OthersAuto  $n blurbs out, 'Just ducky?' $n grumbles and throws back ANOTHER shot.~
End

#SOCIAL
Name        babble~
CharNoArg   You begin to babble like an idiot.~
OthersNoArg $n begins to babble like an idiot.~
CharFound   You begin to babble at $N and $E can't understand a word you are saying.~
OthersFound $n tries to say something to $N but just babbles like an idiot.~
VictFound   $n tries to talk to you but just babbles like an idiot.~
CharAuto    You babble at yourself.~
OthersAuto  $n begins to babble like an idiot.~
End

#SOCIAL
Name        babe~
CharNoArg   You strike a pose in your most babe-like style!~
OthersNoArg $n strikes a pose in $s most babe-like style!~
CharFound   You look at $N and think, "Wow! What a babe!"~
OthersFound $n looks at $N and thinks, "Wow! What a babe!"~
VictFound   $n thinks you are a supreme babe!~
CharAuto    You think you are a babe!~
OthersAuto  $n seems to think that $e is a babe!~
End

#SOCIAL
Name        baffle~
CharNoArg   You scrunch up your face cuz you are totally baffled!~
OthersNoArg $n scrunches up $s face cuz $e is totally baffled!~
CharFound   You scrunch up your face at $N cuz $S behavior totally baffles you!~
OthersFound $n scrunches up $s face at $N cuz $n is totally baffled by $N!~
VictFound   $n scrunches up $s face at you cuz you totally baffle $m!~
CharAuto    You baffle yourself.~
OthersAuto  $n seems to be baffled by $s own thoughts.~
End

#SOCIAL
Name        bah~
CharNoArg   You utter "Bah" out of frustration.~
OthersNoArg $n says, "Bah" and turns away in contempt.~
CharFound   You utter incoherent words in your state of anxiety.~
OthersFound $n begins making sheeplike noises.~
VictFound   $n bahs at you.~
CharAuto    Talking to yourself again?~
OthersAuto  $n is obviously frustrated at something or someone..~
End

#SOCIAL
Name        banana~
CharNoArg   Daylight come, me want go home.~
OthersNoArg $n leans way back, and bellows forth, 'DAAAAAAAYO!'~
CharFound   You sneak up on $N, and sing, 'DAAAAAYO!'  Bananas are dancing before $S eyes.~
OthersFound $n sneaks up behind $N and screams 'DAAAAAAAAAAAAAY-O' at the top of $s lungs.. Bananas are dancing before $S eyes now.~
VictFound   DAAAAAYO! Ack! Bananas! Bananas everywhere!  $n snickers at your predicament.~
CharAuto    Daylight come, me want go home.~
OthersAuto  $n bellows forth, 'DAAAAAYO!' and dances a little rumba.~
End

#SOCIAL
Name        bandaid~
CharNoArg   You search for a bandage for your wounds.~
CharFound   You give $M a bandaid.~
VictFound   $n gives you a bandaid. Hope it helps.~
CharAuto    You put a bandaid over your finger.  Does it feel better now?~
OthersAuto  $n puts a bandaid over $s finger.~
End

#SOCIAL
Name        barf~
CharNoArg   You scream out "I'm gonna be sick!" and then heave your stomach contents onto the ground.~
OthersNoArg $n is so sick that $e tells everyone "I gotta barf!".~
